Algorithms,MaxCost,TimeTaken,Parameters
DynamicProgramming,4844,0.002000,75
IterativeImprovement,4844,0.000000,75
Greedy,4788,0.000000,75
GeneticAlgorithm,4844,0.263000,75
BruteForce,TIMED OUT,-1.000000,76
DecreaseAndConquer,TIMED OUT,-1.000000,76
DivideAndConquer,TIMED OUT,-1.000000,76
TransformAndConquer,5206,0.000000,76
SpaceAndTimeTradeOffs,5206,0.000000,76
DynamicProgramming,5206,0.002000,76
IterativeImprovement,5206,0.000000,76
Greedy,5206,0.000000,76
GeneticAlgorithm,5206,0.265000,76
BruteForce,TIMED OUT,-1.000000,77
DecreaseAndConquer,TIMED OUT,-1.000000,77
DivideAndConquer,TIMED OUT,-1.000000,77
TransformAndConquer,5046,0.000000,77
SpaceAndTimeTradeOffs,5044,0.001000,77
DynamicProgramming,5044,0.002000,77
IterativeImprovement,5041,0.000000,77
Greedy,5019,0.000000,77
GeneticAlgorithm,5044,0.276000,77
BruteForce,TIMED OUT,-1.000000,78
DecreaseAndConquer,TIMED OUT,-1.000000,78
DivideAndConquer,TIMED OUT,-1.000000,78
TransformAndConquer,4969,0.000000,78
SpaceAndTimeTradeOffs,4965,0.001000,78
DynamicProgramming,4965,0.002000,78
IterativeImprovement,4964,0.000000,78
Greedy,4954,0.000000,78
GeneticAlgorithm,4964,0.274000,78
BruteForce,TIMED OUT,-1.000000,79
DecreaseAndConquer,TIMED OUT,-1.000000,79
DivideAndConquer,TIMED OUT,-1.000000,79
TransformAndConquer,5490,0.000000,79
SpaceAndTimeTradeOffs,5490,0.001000,79
DynamicProgramming,5490,0.001000,79
IterativeImprovement,5490,0.000000,79
Greedy,5490,0.000000,79
GeneticAlgorithm,5490,0.274000,79
BruteForce,TIMED OUT,-1.000000,80
DecreaseAndConquer,TIMED OUT,-1.000000,80
DivideAndConquer,TIMED OUT,-1.000000,80
TransformAndConquer,4949,0.000000,80
SpaceAndTimeTradeOffs,4948,0.001000,80
DynamicProgramming,4948,0.002000,80
IterativeImprovement,4948,0.000000,80
Greedy,4942,0.000000,80
