Algorithms,MaxCost,TimeTaken,Parameters
Greedy,5881,0.000013,90
GeneticAlgorithm,5836,0.443856,90
TransformAndConquer,6508,0.000008,91
SpaceAndTimeTradeOffs,6504,0.001174,91
DynamicProgramming,6504,0.002151,91
IterativeImprovement,6504,0.000059,91
Greedy,6375,0.000015,91
GeneticAlgorithm,6391,0.447653,91
TransformAndConquer,5640,0.000007,92
SpaceAndTimeTradeOffs,5636,0.001198,92
DynamicProgramming,5636,0.002187,92
IterativeImprovement,5636,0.000074,92
Greedy,5467,0.000015,92
GeneticAlgorithm,5502,0.480515,92
TransformAndConquer,6574,0.000007,93
SpaceAndTimeTradeOffs,6571,0.001246,93
DynamicProgramming,6571,0.002222,93
IterativeImprovement,6571,0.000055,93
Greedy,6387,0.000008,93
GeneticAlgorithm,6363,0.477420,93
TransformAndConquer,6348,0.000009,94
SpaceAndTimeTradeOffs,6343,0.001267,94
DynamicProgramming,6343,0.002357,94
IterativeImprovement,6343,0.000061,94
Greedy,6243,0.000015,94
GeneticAlgorithm,6218,0.469022,94
TransformAndConquer,7054,0.000009,95
SpaceAndTimeTradeOffs,7054,0.001291,95
DynamicProgramming,7054,0.002231,95
IterativeImprovement,7051,0.000057,95
Greedy,6979,0.000019,95
GeneticAlgorithm,6877,0.471068,95
TransformAndConquer,6213,0.000007,96
SpaceAndTimeTradeOffs,6207,0.001288,96
DynamicProgramming,6207,0.002430,96
IterativeImprovement,6204,0.000089,96
Greedy,5992,0.000018,96
GeneticAlgorithm,5963,0.497774,96
TransformAndConquer,7243,0.000015,97
SpaceAndTimeTradeOffs,7242,0.001350,97
DynamicProgramming,7242,0.002387,97
IterativeImprovement,7242,0.000066,97
Greedy,7141,0.000015,97
GeneticAlgorithm,7112,0.477207,97
TransformAndConquer,7019,0.000010,98
SpaceAndTimeTradeOffs,7017,0.001395,98
DynamicProgramming,7017,0.002492,98
IterativeImprovement,7017,0.000065,98
Greedy,7012,0.000017,98
GeneticAlgorithm,6857,0.479365,98
TransformAndConquer,7469,0.000008,99
SpaceAndTimeTradeOffs,7465,0.001391,99
DynamicProgramming,7465,0.002477,99
IterativeImprovement,7458,0.000077,99
Greedy,7325,0.000009,99
GeneticAlgorithm,7279,0.502127,99
TransformAndConquer,21928,0.000009,100
SpaceAndTimeTradeOffs,21921,0.001167,100
DynamicProgramming,21921,0.002267,100
IterativeImprovement,21921,0.000085,100
Greedy,21530,0.000008,100
GeneticAlgorithm,21443,0.569653,100
TransformAndConquer,7331,0.000009,101
SpaceAndTimeTradeOffs,7316,0.001481,101
DynamicProgramming,7316,0.002516,101
IterativeImprovement,7316,0.000108,101
Greedy,7269,0.000017,101
GeneticAlgorithm,7187,0.562840,101
TransformAndConquer,7379,0.000011,102
SpaceAndTimeTradeOffs,7369,0.001470,102
DynamicProgramming,7369,0.002579,102
IterativeImprovement,7368,0.000092,102
Greedy,7208,0.000008,102
GeneticAlgorithm,7181,0.579411,102
TransformAndConquer,7913,0.000009,103
SpaceAndTimeTradeOffs,7907,0.001464,103
DynamicProgramming,7907,0.002625,103
IterativeImprovement,7907,0.000085,103
Greedy,7837,0.000016,103
GeneticAlgorithm,7697,0.579429,103
TransformAndConquer,8497,0.000008,104
SpaceAndTimeTradeOffs,8495,0.001490,104
DynamicProgramming,8495,0.002671,104
IterativeImprovement,8488,0.000085,104
Greedy,8319,0.000015,104
GeneticAlgorithm,8222,0.578095,104
TransformAndConquer,7520,0.000009,105
SpaceAndTimeTradeOffs,7513,0.001506,105
DynamicProgramming,7513,0.002705,105
IterativeImprovement,7513,0.000091,105
Greedy,7320,0.000010,105
GeneticAlgorithm,7331,0.606179,105
TransformAndConquer,7962,0.000009,106
SpaceAndTimeTradeOffs,7952,0.001557,106
DynamicProgramming,7952,0.002795,106
IterativeImprovement,7952,0.000089,106
Greedy,7897,0.000010,106
GeneticAlgorithm,7820,0.587670,106
